ID_orig;X_orig;Y_orig
5850046;24.716307999999998;60.32126629999999
5850047;24.720830399999997;60.321343999999996
5850048;24.725352899999997;60.321421400000006
5850049;24.729875399999997;60.3214988
5850050;24.734397899999998;60.3215759
5850051;24.7389205;60.321653000000005
5850052;24.743443;60.32172979999999
5850053;24.7479656;60.321806499999994
5850054;24.7524882;60.3218831
5850055;24.7570109;60.3219595
5850056;24.7615336;60.3220358
5850057;24.7660563;60.322111899999996
5850058;24.770579;60.3221878
5850059;24.7751017;60.32226360000001
5850060;24.7796245;60.3223392
5850061;24.7841473;60.3224147
5850062;24.7886701;60.32249
5850063;24.793193;60.3225652
5850064;24.7977158;60.3226402
5850065;24.8022387;60.32271510000001
5850066;24.8067616;60.322789799999995
5850067;24.8112846;60.3228644
5850068;24.815807500000002;60.32293879999999
5850069;24.8203305;60.323013
5850070;24.8248535;60.3230871
5850071;24.8293766;60.3231611
5850072;24.833899600000002;60.323234899999996
5850073;24.8384227;60.323308499999996
5850074;24.842945800000003;60.323381999999995
5850075;24.8474689;60.3234553
5850076;24.8519921;60.3235285
5850077;24.8565153;60.3236015
5850078;24.8610385;60.323674399999994
5850079;24.8655617;60.3237471
5850080;24.8700849;60.3238196
5850081;24.8746082;60.323892099999995
5850082;24.8791315;60.32396429999999
5850083;24.883654800000002;60.3240364
5850084;24.888178200000002;60.3241083
5850085;24.8927015;60.3241801
5850086;24.897224899999998;60.32425179999999
5850087;24.9017483;60.3243233
5850088;24.9062718;60.3243946
5850089;24.9107952;60.32446579999999
5850090;24.9153187;60.324536800000004
5850091;24.919842199999998;60.3246077
5850092;24.9243657;60.324678399999996
5850093;24.9288893;60.324748899999996
5850094;24.9334128;60.324819299999994
5850095;24.937936399999998;60.324889600000006
