ID_orig;X_orig;Y_orig
5933139;25.0886035;60.22610039999999
5933140;25.0931139;60.22616529999999
5933141;25.097624300000003;60.226230099999995
5933142;25.102134799999998;60.226294700000004
5933143;25.1066453;60.2263591
5933144;25.1111557;60.226423399999995
5933145;25.1156663;60.226487600000006
5933146;25.1201768;60.22655160000001
5933147;25.1246873;60.2266154
5933148;25.129197899999998;60.2266791
5933149;25.1337085;60.226742599999994
5933150;25.1382191;60.226806
5933151;25.1427297;60.2268692
5933152;25.147240399999998;60.226932299999994
5933153;25.151751100000002;60.226995200000005
5933154;25.156261800000003;60.22705799999999
5933155;25.1607725;60.2271206
5933156;25.1652832;60.227183
5933157;25.169794;60.2272453
5933158;25.1743047;60.227307499999995
5933159;25.1788155;60.227369499999995
5933160;25.1833263;60.2274313
5933161;25.1878372;60.227493
5933162;25.192348000000003;60.2275546
5934823;24.502616;60.214115
5934824;24.507123;60.2141998
5934825;24.51163;60.214284400000004
5934826;24.5161371;60.214369
5934827;24.520644100000002;60.214453299999995
5934828;24.5251512;60.2145375
5934829;24.5296583;60.2146216
5934830;24.5341655;60.21470550000001
5934831;24.5386727;60.2147892
5934832;24.5431799;60.2148728
5934833;24.5476871;60.2149562
5934834;24.552194399999998;60.2150395
5934835;24.556701699999998;60.2151226
5934836;24.561208999999998;60.2152056
5934837;24.5657163;60.2152884
5934838;24.5702237;60.2153711
5934839;24.5747311;60.2154536
5934840;24.579238500000002;60.215536
5934841;24.583745899999997;60.2156182
5934842;24.5882534;60.2157003
5934843;24.5927609;60.21578220000001
5934844;24.597268399999997;60.215863899999995
5934845;24.6017759;60.2159455
5934846;24.6062835;60.216027000000004
5934847;24.610791100000004;60.2161083
5934848;24.6152987;60.2161894
