ID_orig;X_orig;Y_orig
5898386;24.9416081;60.266564699999996
5898387;24.9461237;60.266634700000004
5898388;24.950639300000002;60.2667045
5898389;24.9551549;60.266774100000006
5898390;24.9596706;60.2668436
5898391;24.9641862;60.266912899999994
5898392;24.968701899999996;60.2669821
5898393;24.9732176;60.2670511
5898394;24.9777333;60.267119900000004
5898395;24.9822491;60.267188600000004
5898396;24.986764899999997;60.2672572
5898397;24.9912807;60.26732560000001
5898398;24.9957965;60.267393799999994
5898399;25.0003123;60.267461899999994
5898400;25.004828200000002;60.2675299
5898401;25.009344100000003;60.2675976
5898402;25.01386;60.26766529999999
5898403;25.0183759;60.2677328
5898404;25.0228918;60.2678001
5898405;25.027407800000002;60.26786729999999
5898406;25.0319238;60.2679343
5898407;25.0364398;60.268001100000006
5898408;25.040955800000003;60.2680678
5898409;25.0454719;60.2681344
5898410;25.049988;60.26820079999999
5898411;25.054504100000003;60.268267099999996
5898412;25.0590202;60.26833320000001
5898413;25.063536300000003;60.2683991
5898414;25.0680525;60.2684649
5898415;25.0725687;60.268530500000004
5898416;25.0770849;60.268595999999995
5898417;25.081601100000004;60.2686613
5898418;25.0861173;60.2687265
5898419;25.0906336;60.268791500000006
5898420;25.0951499;60.268856400000004
5898421;25.099666199999998;60.2689211
5898422;25.1041825;60.26898570000001
5898423;25.108698899999997;60.26905010000001
5898424;25.1132152;60.26911429999999
5898425;25.117731600000003;60.2691784
5898426;25.122248000000003;60.2692424
5898427;25.1267645;60.2693062
5898428;25.131280899999997;60.2693698
5898429;25.135797399999998;60.269433299999996
5898430;25.1403139;60.269496700000005
5898431;25.144830399999996;60.2695598
5898432;25.149346899999998;60.269622899999995
5898433;25.1538635;60.26968570000001
5898434;25.158380100000002;60.26974839999999
5898435;25.1628966;60.269811
